Experiment,Year,Field#,PlotID,Rotation,Rep,N-Old,Nitro,Pedigree,HYB,Source,Plot#,Range,Row,Root#,PlotiD
2023_Rotational Plots,2023,118,11810,3Year,1,N2,N2,B73xPHZ51,NREC03,2021MOB:1564-69,3036,8,19,1,11810
2023_Rotational Plots,2023,118,11811,3Year,1,N2,N2,Z031E0047xPHZ51,NREC11,2021MOB:1628-33,3041,9,3,1,11811
2023_Rotational Plots,2023,118,11812,3Year,1,N2,N2,PHHB9*PHZ51,UIUC4,2021WN_Tuniche_Chile,3042,9,7,1,11812
2023_Rotational Plots,2023,118,11813,3Year,1,N2,N2,PH5141,CHECK7,Prairie Hyb,3043,9,11,1,11813
2023_Rotational Plots,2023,118,11814,3Year,1,N2,N2,Z031E0047xPHG47,NREC10,2021MOB:1620-25,3044,9,15,1,11814
2023_Rotational Plots,2023,118,11815,3Year,1,N2,N2,BR64K93,CHECK4,Blue River Hybrid,3045,9,19,1,11815
2023_Rotational Plots,2023,219,21901,3Year,2,N2,N2,B73xPHZ51,NREC03,2021MOB:1564-69,3046,1,3,1,21901
2023_Rotational Plots,2023,219,21902,3Year,2,N2,N2,Z031E0021xMo17,NREC05,2021MOB:1580-85,3047,1,7,1,21902
2023_Rotational Plots,2023,219,21903,3Year,2,N2,N2,BR64K93,CHECK4,Blue River Hybrid,3048,1,11,1,21903
2023_Rotational Plots,2023,219,21904,3Year,2,N2,N2,B73XMo17,NREC01,2021MOB:1548-53,3049,1,15,1,21904
2023_Rotational Plots,2023,219,21905,3Year,2,N2,N2,Z031E0021xPHZ51,NREC07,2021MOB:1596,3050,1,19,1,21905
2023_Rotational Plots,2023,219,21906,3Year,2,N2,N2,Z031E0047xPHZ51,NREC11,2021MOB:1628-33,3055,2,3,1,21906
2023_Rotational Plots,2023,219,21907,3Year,2,N2,N2,PH5141,CHECK7,Prairie Hyb,3054,2,7,1,21907
2023_Rotational Plots,2023,219,21908,3Year,2,N2,N2,B73xPHG47,NREC02,2021MOB:1556-61,3053,2,11,1,21908
2023_Rotational Plots,2023,219,21909,3Year,2,N2,N2,B73xPH207,NREC04,2021MOB:1572-77,3052,2,15,1,21909
2023_Rotational Plots,2023,219,21910,3Year,2,N2,N2,Z031E0021xPHG47,NREC06,2021MOB:1588-93,3051,2,19,1,21910
2023_Rotational Plots,2023,219,21911,3Year,2,N2,N2,PHHB9*PHZ51,UIUC4,2021WN_Tuniche_Chile,3056,3,3,1,21911
2023_Rotational Plots,2023,219,21912,3Year,2,N2,N2,Z031E0021xPH207,NREC08,2021MOB:1604-09,3057,3,7,1,21912
2023_Rotational Plots,2023,219,21913,3Year,2,N2,N2,Z031E0047xPH207,NREC12,2021MOB:1636-41,3058,3,11,1,21913
2023_Rotational Plots,2023,219,21914,3Year,2,N2,N2,Z031E0047xMo17,NREC09,2021MOB:1612-17,3059,3,15,1,21914
2023_Rotational Plots,2023,219,21915,3Year,2,N2,N2,Z031E0047xPHG47,NREC10,2021MOB:1620-25,3060,3,19,1,21915
2023_Rotational Plots,2023,220,22001,3Year,2,N1,N1,B73xPHZ51,NREC03,2021MOB:1564-69,3065,4,3,1,22001
2023_Rotational Plots,2023,220,22002,3Year,2,N1,N1,Z031E0021xPH207,NREC08,2021MOB:1604-09,3064,4,7,1,22002
2023_Rotational Plots,2023,220,22003,3Year,2,N1,N1,Z031E0047xPHZ51,NREC11,2021MOB:1628-33,3063,4,11,1,22003
2023_Rotational Plots,2023,220,22004,3Year,2,N1,N1,Z031E0021xPHG47,NREC06,2021MOB:1588-93,3062,4,15,1,22004
2023_Rotational Plots,2023,220,22005,3Year,2,N1,N1,Z031E0021xMo17,NREC05,2021MOB:1580-85,3061,4,19,1,22005
2023_Rotational Plots,2023,220,22006,3Year,2,N1,N1,Z031E0021xPHZ51,NREC07,2021MOB:1596,3066,5,3,1,22006
2023_Rotational Plots,2023,220,22007,3Year,2,N1,N1,Z031E0047xPHG47,NREC10,2021MOB:1620-25,3067,5,7,1,22007
2023_Rotational Plots,2023,220,22008,3Year,2,N1,N1,BR64K93,CHECK4,Blue River Hybrid,3068,5,11,1,22008
